English;adcovtle;Notes (adcovtle);Data Comprehension (adcovtle);Part of Speech (adcovtle);Difficulty (adcovtle);we;Notes (we);Data Comprehension (we);Avamants Logetavys;Notes (Avamants Logetavys);Data Comprehension (Avamants Logetavys);Šelva Enkan;Notes (Šelva Enkan);Data Comprehension (Šelva Enkan);Wàmèrìʒá;Notes (Wàmèrìʒá);Data Comprehension (Wàmèrìʒá);Quərfi;Notes (Quərfi);Data Comprehension (Quərfi);Proto-Kwerfia;Notes (Proto-Kwerfia);Data Comprehension (Proto-Kwerfia);Senta Grèstilsa;Notes (Senta Grèstilsa);Data Comprehension (Senta Grèstilsa);Mēeu Gēo;Notes (Mēeu Gēo);Data Comprehension (Mēeu Gēo);Ongrèstilsa;Notes (Ongrèstilsa);Data Comprehension (Ongrèstilsa);Qsek'a;Notes (Qsek'a);Data Comprehension (Qsek'a);B´andve;Notes (B´andve);Data Comprehension (B´andve);Opetfi;Notes (Opetfi);Data Comprehension (Opetfi);Cjëmta;Notes (Cjëmta);Data Comprehension (Cjëmta);Fashiikéfa;Notes (Fashiikéfa);Data Comprehension (Fashiikéfa);peküzhí Nakiwá;Notes (peküzhí Nakiwá);Data Comprehension (peküzhí Nakiwá);Łok'aqe;Notes (Łok'aqe);Data Comprehension (Łok'aqe);Q'ucnaimxk'uł7;Notes (Q'ucnaimxk'uł7);Data Comprehension (Q'ucnaimxk'uł7);Dreeenuce;Notes (Dreeenuce);Data Comprehension (Dreeenuce);Wilakana;Notes (Wilakana);Data Comprehension (Wilakana);Çalbaça;Notes (Çalbaça);Data Comprehension (Çalbaça);Ligu magyk;Notes (Ligu magyk);Data Comprehension (Ligu magyk);Proto-North-Ovøta;Notes (Proto-North-Ovøta);Data Comprehension (Proto-North-Ovøta);çymtoçamao - 5000 BC;Notes (çymtoçamao - 5000 BC);Data Comprehension (çymtoçamao - 5000 BC);çyntoçana - 2000 BC;Notes (çyntoçana - 2000 BC);Data Comprehension (çyntoçana - 2000 BC);Proto-Çuço;Notes (Proto-Çuço);Data Comprehension (Proto-Çuço);Çúaço aʃoevújaço;Notes (Çúaço aʃoevújaço);Data Comprehension (Çúaço aʃoevújaço);Español;Français;last column (leave blank and insert to left)
restaurant;comisra;;comisra;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
correct;coþle;;coþle;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
day;da;;da;noun;;;;;;;;;;;sóólò;;soolo;sotr;inanimate, -;sotr;sotra;;sotra;;;;;;;;;;;;;;;;;;;;;;;;;ö kemízu;go yazhiká;ö kemizu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
their;ðaðo;;ðaðo;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
his;ðeco;;ðeco;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
her;ðeco;;ðeco;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
its;ðeco;;ðeco;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mine;ðedma;;ðedma;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
your;ðedva;;ðedva;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
all;dera;;dera;adjective;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;etaa;;etaa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
with;ðev;;ðev;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
containing;ðev;;ðev;preposition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
two;do;after noun: other, opposite;do;number;;dese;;dese;dosk;;dosk;;;;kèlà;;kela;grə;;grə;gra;;gra;;;;;;;;;;;;;;;;;;;;;;bbu;;bbu;busé;;buse;;;;;;;;;;;;;nöma;;nöma;;;;nia;;nia;fara;;fara;farə;;farə;ponu;;ponu;ponú;;ponú;;;
he;ðo;;ðo;pronoun;;;;;;;;;;;çùrò;;çuro;ʒur;;ʒur;ʝuro;;ʝuro;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
him;ðo;;ðo;pronoun;;;;;;;;;;;çùròò;;çuroo;ʒəroi;;ʒəroi;ʝuros;;ʝuros;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
she;ðo;;ðo;pronoun;;;;;;;;;;;çùrò;;çuro;ʒur;;ʒur;ʝuro;;ʝuro;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
her;ðo;;ðo;pronoun;;;;;;;;;;;çùròò;;çuroo;ʒəroi;;ʒəroi;ʝuros;;ʝuros;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
it;ðo;;ðo;pronoun;;;;;;;;;;;çádà;;çada;ʃa;;ʃa;çata ;;çata ;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
it;ðo;;ðo;pronoun;;;;;;;;;;;çàbè;;çabe;ʒap;;ʒap;ʝabi ;;ʝabi ;;;;;;;;;;;;;b´â;;b´â;;;;;;;;;;ka pákü;;ka pakü;;;;;;;;;;;;;;;;;;;a;;a;;;;;;;;;;;;;;;
yes;ðobod;;ðobod;adverb;;;;;;;;;;;;;;;;;;;;;;;;;;yase;;yase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ai;;ai;a;;a;;;;;;;;;
and;e;;e;conjunction;;;;;;;;;;;tólùm;;tolum;drəm;;drəm;drum;;drum;ton;;ton;to;;to;ton;;ton;;;;d´i;;d´i;;;;;;;;;;mo;;mo;;;;;;;;;;;;;;;;;;;;;;mo;;mo;mo;;mo;;;;;;;;;
to understand;econti;þepete verb;econti;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;koshúno;;košuno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
text;ectinon;;ectinon;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
building;edið;;edið;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
evidence of;edva-;;edva-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to write;elecri;;elecri;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to read;elejat;;elejat;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to want;emta;;emta;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to miss;enti;"can also be ""to want"" in archaic contexts";enti;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to pass;epaz;þepete verb;epaz;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hello;era;;era;interjection;;;;;;;;;;;;;;;;;;;;groxme;;groxme;goixmo;;goixmo;groxmo;;groxmo;;;;b´li;;b´li;;;;sämsjâ;;sämsjâ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
squirrel;escal;;escal;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;θukʃata;;θukʃata;;;;;;;sämácjezja;;sämâcjezja;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to start;estar;;estar;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to end;eterm;þepete verb;eterm;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to finish;eterm;þepete verb;eterm;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to terminate;eterm;þepete verb;eterm;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to have to ;etidið;þepete verb;etidið;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;nobügo;;nobügo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
edge;evja;;evja;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to speak;evla;;evla;verb;;;;;;;;;;;èègélìbà;;eegeliba;;;;eskrubat;;eskrubat;;;;;;;;;;;;;;;;opetfis;;opetfis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
valley;fale;;fale;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;smaçu;;smaçu;snaçy;;snaçy;wanoka;;wanoka;vonká;;vonká;;;
animal;fanu;;fanu;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tjuno;;tjuno;tʝyno;;tʝyno;;;;;;;;;
sentence;frase;;frase;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
at;ga;;ga;preposition;;;;;;;;;;;kà;;ka;;;;ga;;ga;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
that;gatðo;;gatðo;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
there;gatla;note: don't ad la- or te- to this noun;gatla;pronoun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
park;gepña;;gepña;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
then;han;;han;pronoun;;;;;;;;;;;òrõnò;;orõno;;;;orore;;orore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
potter's;hejata;;hejata;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grocer's;hepisa;;hepisa;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grocery store;hepisa;;hepisa;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to have;hove;;hove;verb;;;;;;;;;;;çúrùbà;;çuruba;xərub;;xərub;xurubat;;xurubat;;;;;;;;;;;;;;;;;;;;;;;;;moduyé;;moduye;;;;;;;;;;;;;;;;;;;;;;;;;;;;govo;;govo;góavo;;góavo;;;
to walk;icalej;þepete verb;icalej;verb;;;;;;;;;;;çábèʝá;;çabeʝa;;;;çabeçat;;çabeçat;;;;;;;;;;p'emʔwapjum;;p'emʔwapjum;g´lide;;g´lide;;;;;;;;;;;;;;;;;;;;;;patavu;;patavu;;;;;;;;;;;;;;;;;;;;;;;;
to hike;icalej;þepete verb;icalej;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
eight;ilea;;ilea;number;;yle;;yle;ylaiæ;;ylaiæ;;;;tînà kólòò;;tîna koloo;;;;tina gros;;tina gros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
grass;ili;;ili;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
countryside;ililia;;ililia;noun;;;;;;;;;;;;;;;;;;;;lèrs;;lèrs;lēo;;lēo;léres;;léres;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
fields;ililia;;ililia;noun;;;;;;;;;;;ìrìrè;;irire;;;;irire;;irire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ɟenø;;ɟenø;ɟenø;;ɟenø;;;;;;;;;
information;inlematic;;inlematic;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;iz;conditional voice construction;iz;plavestafras;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lake;jaði;;jaði;noun;;;;;;;;;;;jûnù;;jûnu;;;;junu;;junu;mèš;;mèš;mikeu;;mikeu;mékeh;;mékeh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;pfon;;pfon;pson;;pson;;;;;;;;;
jar;jata;;jata;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dish;jata;;jata;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
line;lin;;lin;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
light;lize;;lize;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ta öwisú;go yazhiká;ta öwisu;;;;;;;;;;;;;;;;;;;;;;fibi;;fibi;fide;;fide;;;;;;;;;
I;ma;;ma;pronoun;;;;;;;;dya;prefixed like any noun, depending on gender of speaker;dya;mà;;ma;mə;;mə;ma;;ma;;;;;;;;;;;;;gi;;gi;;;;;;;;;;tu öwá;;tu öwa;;;;;;;;;;;;;;;;;;;øvi;;øvi;;;;;;;va;;va;vá;;vá;;;
me;ma;;ma;pronoun;;;;;;;;fedya;prefixed like any noun, depending on gender of speaker;fedya;màà;;maa;mai;;mai;mas;;mas;;;;;;;;;;;;;;;;;;;;;;;;;tu öwá;;tu öwa;;;;;;;;;;;;;;;;;;;ovi;;ovi;;;;;;;va;;va;vá;;vá;;;
computer;majclo;;majclo;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metre;meter;;meter;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
module;module;;module;noun;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
to move;move;;move;verb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
